quarter,state,store_count,traffic_index,express_share,metro_share,regional_volume_index,state_margin_cpg,store_count_estimated,volume_weight_estimated
2023Q1,AL,77,0.94,0.31,0.36,0.98,28.5,true,true
2023Q1,AR,66,0.9,0.25,0.27,0.97,29.0,true,true
2023Q1,CO,9,1.06,0.71,0.72,1.05,33.2,true,true
2023Q1,FL,130,1.12,0.48,0.76,1.08,31.8,true,true
2023Q1,GA,105,1.04,0.43,0.61,1.04,30.5,true,true
2023Q1,IA,20,0.91,0.3,0.31,0.95,30.8,true,true
2023Q1,IL,42,1.01,0.37,0.69,0.98,34.0,true,true
2023Q1,IN,42,0.98,0.34,0.49,0.99,31.4,true,true
2023Q1,KS,23,0.93,0.37,0.4,0.98,29.5,true,true
2023Q1,KY,49,0.97,0.33,0.42,1.0,30.2,true,true
2023Q1,LA,44,0.96,0.28,0.49,0.99,28.8,true,true
2023Q1,MI,4,0.99,0.78,0.71,1.02,33.5,true,true
2023Q1,MN,18,0.94,0.35,0.52,0.96,32.1,true,true
2023Q1,MO,70,0.96,0.33,0.47,0.99,29.8,true,true
2023Q1,MS,68,0.89,0.23,0.27,0.96,28.0,true,true
2023Q1,NC,85,1.03,0.41,0.57,1.03,30.9,true,true
2023Q1,NE,11,0.92,0.43,0.46,0.96,30.1,true,true
2023Q1,NM,26,0.92,0.31,0.55,0.98,31.2,true,true
2023Q1,OH,52,1.0,0.39,0.58,1.01,32.0,true,true
2023Q1,OK,57,0.94,0.29,0.44,0.98,28.9,true,true
2023Q1,SC,61,1.02,0.4,0.51,1.03,30.1,true,true
2023Q1,TN,92,1.02,0.39,0.53,1.02,29.7,true,true
2023Q1,TX,334,1.08,0.42,0.7,1.07,30.6,true,true
2023Q1,VA,60,1.04,0.43,0.63,1.03,31.5,true,true
2023Q1,WI,15,0.93,0.39,0.45,0.96,31.9,true,true
2023Q1,WV,14,0.91,0.35,0.28,0.97,30.0,true,true
2023Q1,WY,7,0.88,0.56,0.25,0.94,31.0,true,true
2023Q2,AL,78,0.94,0.31,0.36,0.98,28.5,true,true
2023Q2,AR,67,0.9,0.25,0.27,0.97,29.0,true,true
2023Q2,CO,9,1.06,0.71,0.72,1.05,33.2,true,true
2023Q2,FL,131,1.12,0.48,0.76,1.08,31.8,true,true
2023Q2,GA,106,1.04,0.43,0.61,1.04,30.5,true,true
2023Q2,IA,20,0.91,0.3,0.31,0.95,30.8,true,true
2023Q2,IL,42,1.01,0.37,0.69,0.98,34.0,true,true
2023Q2,IN,42,0.98,0.34,0.49,0.99,31.4,true,true
2023Q2,KS,23,0.93,0.37,0.4,0.98,29.5,true,true
2023Q2,KY,50,0.97,0.33,0.42,1.0,30.2,true,true
2023Q2,LA,44,0.96,0.28,0.49,0.99,28.8,true,true
2023Q2,MI,4,0.99,0.78,0.71,1.02,33.5,true,true
2023Q2,MN,18,0.94,0.35,0.52,0.96,32.1,true,true
2023Q2,MO,71,0.96,0.33,0.47,0.99,29.8,true,true
2023Q2,MS,68,0.89,0.23,0.27,0.96,28.0,true,true
2023Q2,NC,86,1.03,0.41,0.57,1.03,30.9,true,true
2023Q2,NE,11,0.92,0.43,0.46,0.96,30.1,true,true
2023Q2,NM,26,0.92,0.31,0.55,0.98,31.2,true,true
2023Q2,OH,52,1.0,0.39,0.58,1.01,32.0,true,true
2023Q2,OK,58,0.94,0.29,0.44,0.98,28.9,true,true
2023Q2,SC,62,1.02,0.4,0.51,1.03,30.1,true,true
2023Q2,TN,93,1.02,0.39,0.53,1.02,29.7,true,true
2023Q2,TX,337,1.08,0.42,0.7,1.07,30.6,true,true
2023Q2,VA,61,1.04,0.43,0.63,1.03,31.5,true,true
2023Q2,WI,15,0.93,0.39,0.45,0.96,31.9,true,true
2023Q2,WV,14,0.91,0.35,0.28,0.97,30.0,true,true
2023Q2,WY,7,0.88,0.56,0.25,0.94,31.0,true,true
2023Q3,AL,78,0.94,0.31,0.36,0.98,28.5,true,true
2023Q3,AR,67,0.9,0.25,0.27,0.97,29.0,true,true
2023Q3,CO,10,1.06,0.71,0.72,1.05,33.2,true,true
2023Q3,FL,133,1.12,0.48,0.76,1.08,31.8,true,true
2023Q3,GA,108,1.04,0.43,0.61,1.04,30.5,true,true
2023Q3,IA,21,0.91,0.3,0.31,0.95,30.8,true,true
2023Q3,IL,43,1.01,0.37,0.69,0.98,34.0,true,true
2023Q3,IN,43,0.98,0.34,0.49,0.99,31.4,true,true
2023Q3,KS,24,0.93,0.37,0.4,0.98,29.5,true,true
2023Q3,KY,50,0.97,0.33,0.42,1.0,30.2,true,true
2023Q3,LA,45,0.96,0.28,0.49,0.99,28.8,true,true
2023Q3,MI,5,0.99,0.78,0.71,1.02,33.5,true,true
2023Q3,MN,18,0.94,0.35,0.52,0.96,32.1,true,true
2023Q3,MO,71,0.96,0.33,0.47,0.99,29.8,true,true
2023Q3,MS,69,0.89,0.23,0.27,0.96,28.0,true,true
2023Q3,NC,87,1.03,0.41,0.57,1.03,30.9,true,true
2023Q3,NE,12,0.92,0.43,0.46,0.96,30.1,true,true
2023Q3,NM,27,0.92,0.31,0.55,0.98,31.2,true,true
2023Q3,OH,53,1.0,0.39,0.58,1.01,32.0,true,true
2023Q3,OK,58,0.94,0.29,0.44,0.98,28.9,true,true
2023Q3,SC,62,1.02,0.4,0.51,1.03,30.1,true,true
2023Q3,TN,94,1.02,0.39,0.53,1.02,29.7,true,true
2023Q3,TX,340,1.08,0.42,0.7,1.07,30.6,true,true
2023Q3,VA,61,1.04,0.43,0.63,1.03,31.5,true,true
2023Q3,WI,16,0.93,0.39,0.45,0.96,31.9,true,true
2023Q3,WV,15,0.91,0.35,0.28,0.97,30.0,true,true
2023Q3,WY,7,0.88,0.56,0.25,0.94,31.0,true,true
2023Q4,AL,79,0.94,0.31,0.36,0.98,28.5,true,true
2023Q4,AR,68,0.9,0.25,0.27,0.97,29.0,true,true
2023Q4,CO,10,1.06,0.71,0.72,1.05,33.2,true,true
2023Q4,FL,134,1.12,0.48,0.76,1.08,31.8,true,true
2023Q4,GA,109,1.04,0.43,0.61,1.04,30.5,true,true
2023Q4,IA,21,0.91,0.3,0.31,0.95,30.8,true,true
2023Q4,IL,43,1.01,0.37,0.69,0.98,34.0,true,true
2023Q4,IN,43,0.98,0.34,0.49,0.99,31.4,true,true
2023Q4,KS,24,0.93,0.37,0.4,0.98,29.5,true,true
2023Q4,KY,51,0.97,0.33,0.42,1.0,30.2,true,true
2023Q4,LA,45,0.96,0.28,0.49,0.99,28.8,true,true
2023Q4,MI,5,0.99,0.78,0.71,1.02,33.5,true,true
2023Q4,MN,19,0.94,0.35,0.52,0.96,32.1,true,true
2023Q4,MO,72,0.96,0.33,0.47,0.99,29.8,true,true
2023Q4,MS,69,0.89,0.23,0.27,0.96,28.0,true,true
2023Q4,NC,88,1.03,0.41,0.57,1.03,30.9,true,true
2023Q4,NE,12,0.92,0.43,0.46,0.96,30.1,true,true
2023Q4,NM,27,0.92,0.31,0.55,0.98,31.2,true,true
2023Q4,OH,53,1.0,0.39,0.58,1.01,32.0,true,true
2023Q4,OK,59,0.94,0.29,0.44,0.98,28.9,true,true
2023Q4,SC,63,1.02,0.4,0.51,1.03,30.1,true,true
2023Q4,TN,95,1.02,0.39,0.53,1.02,29.7,true,true
2023Q4,TX,343,1.08,0.42,0.7,1.07,30.6,true,true
2023Q4,VA,62,1.04,0.43,0.63,1.03,31.5,true,true
2023Q4,WI,16,0.93,0.39,0.45,0.96,31.9,true,true
2023Q4,WV,15,0.91,0.35,0.28,0.97,30.0,true,true
2023Q4,WY,8,0.88,0.56,0.25,0.94,31.0,true,true
2024Q1,AL,80,0.94,0.31,0.36,0.98,28.5,true,true
2024Q1,AR,68,0.9,0.25,0.27,0.97,29.0,true,true
2024Q1,CO,11,1.06,0.71,0.72,1.05,33.2,true,true
2024Q1,FL,136,1.12,0.48,0.76,1.08,31.8,true,true
2024Q1,GA,110,1.04,0.43,0.61,1.04,30.5,true,true
2024Q1,IA,21,0.91,0.3,0.31,0.95,30.8,true,true
2024Q1,IL,43,1.01,0.37,0.69,0.98,34.0,true,true
2024Q1,IN,43,0.98,0.34,0.49,0.99,31.4,true,true
2024Q1,KS,24,0.93,0.37,0.4,0.98,29.5,true,true
2024Q1,KY,51,0.97,0.33,0.42,1.0,30.2,true,true
2024Q1,LA,46,0.96,0.28,0.49,0.99,28.8,true,true
2024Q1,MI,6,0.99,0.78,0.71,1.02,33.5,true,true
2024Q1,MN,19,0.94,0.35,0.52,0.96,32.1,true,true
2024Q1,MO,73,0.96,0.33,0.47,0.99,29.8,true,true
2024Q1,MS,70,0.89,0.23,0.27,0.96,28.0,true,true
2024Q1,NC,89,1.03,0.41,0.57,1.03,30.9,true,true
2024Q1,NE,12,0.92,0.43,0.46,0.96,30.1,true,true
2024Q1,NM,27,0.92,0.31,0.55,0.98,31.2,true,true
2024Q1,OH,54,1.0,0.39,0.58,1.01,32.0,true,true
2024Q1,OK,59,0.94,0.29,0.44,0.98,28.9,true,true
2024Q1,SC,64,1.02,0.4,0.51,1.03,30.1,true,true
2024Q1,TN,96,1.02,0.39,0.53,1.02,29.7,true,true
2024Q1,TX,346,1.08,0.42,0.7,1.07,30.6,true,true
2024Q1,VA,63,1.04,0.43,0.63,1.03,31.5,true,true
2024Q1,WI,16,0.93,0.39,0.45,0.96,31.9,true,true
2024Q1,WV,15,0.91,0.35,0.28,0.97,30.0,true,true
2024Q1,WY,8,0.88,0.56,0.25,0.94,31.0,true,true
2024Q2,AL,81,0.94,0.31,0.36,0.98,28.5,true,true
2024Q2,AR,69,0.9,0.25,0.27,0.97,29.0,true,true
2024Q2,CO,11,1.06,0.71,0.72,1.05,33.2,true,true
2024Q2,FL,137,1.12,0.48,0.76,1.08,31.8,true,true
2024Q2,GA,111,1.04,0.43,0.61,1.04,30.5,true,true
2024Q2,IA,21,0.91,0.3,0.31,0.95,30.8,true,true
2024Q2,IL,44,1.01,0.37,0.69,0.98,34.0,true,true
2024Q2,IN,44,0.98,0.34,0.49,0.99,31.4,true,true
2024Q2,KS,25,0.93,0.37,0.4,0.98,29.5,true,true
2024Q2,KY,52,0.97,0.33,0.42,1.0,30.2,true,true
2024Q2,LA,46,0.96,0.28,0.49,0.99,28.8,true,true
2024Q2,MI,6,0.99,0.78,0.71,1.02,33.5,true,true
2024Q2,MN,19,0.94,0.35,0.52,0.96,32.1,true,true
2024Q2,MO,73,0.96,0.33,0.47,0.99,29.8,true,true
2024Q2,MS,70,0.89,0.23,0.27,0.96,28.0,true,true
2024Q2,NC,90,1.03,0.41,0.57,1.03,30.9,true,true
2024Q2,NE,12,0.92,0.43,0.46,0.96,30.1,true,true
2024Q2,NM,27,0.92,0.31,0.55,0.98,31.2,true,true
2024Q2,OH,54,1.0,0.39,0.58,1.01,32.0,true,true
2024Q2,OK,60,0.94,0.29,0.44,0.98,28.9,true,true
2024Q2,SC,65,1.02,0.4,0.51,1.03,30.1,true,true
2024Q2,TN,97,1.02,0.39,0.53,1.02,29.7,true,true
2024Q2,TX,349,1.08,0.42,0.7,1.07,30.6,true,true
2024Q2,VA,64,1.04,0.43,0.63,1.03,31.5,true,true
2024Q2,WI,16,0.93,0.39,0.45,0.96,31.9,true,true
2024Q2,WV,15,0.91,0.35,0.28,0.97,30.0,true,true
2024Q2,WY,8,0.88,0.56,0.25,0.94,31.0,true,true
2024Q3,AL,81,0.94,0.31,0.36,0.98,28.5,true,true
2024Q3,AR,69,0.9,0.25,0.27,0.97,29.0,true,true
2024Q3,CO,12,1.06,0.71,0.72,1.05,33.2,true,true
2024Q3,FL,139,1.12,0.48,0.76,1.08,31.8,true,true
2024Q3,GA,113,1.04,0.43,0.61,1.04,30.5,true,true
2024Q3,IA,22,0.91,0.3,0.31,0.95,30.8,true,true
2024Q3,IL,44,1.01,0.37,0.69,0.98,34.0,true,true
2024Q3,IN,44,0.98,0.34,0.49,0.99,31.4,true,true
2024Q3,KS,25,0.93,0.37,0.4,0.98,29.5,true,true
2024Q3,KY,52,0.97,0.33,0.42,1.0,30.2,true,true
2024Q3,LA,47,0.96,0.28,0.49,0.99,28.8,true,true
2024Q3,MI,7,0.99,0.78,0.71,1.02,33.5,true,true
