quarter,scheme,weighted_state_margin_cpg,final_margin_estimate_cpg
2023Q1,store_only,30.4291,30.0
2023Q1,traffic_adjusted,30.475,30.0459
2023Q1,format_adjusted,30.4823,30.0532
2023Q1,full_adjusted,30.5105,30.0814
2023Q1,regional_tilt,30.4895,30.0604
2023Q2,store_only,30.427,30.0
2023Q2,traffic_adjusted,30.4729,30.0459
2023Q2,format_adjusted,30.4802,30.0532
2023Q2,full_adjusted,30.5085,30.0814
2023Q2,regional_tilt,30.4875,30.0605
2023Q3,store_only,30.4344,30.0
2023Q3,traffic_adjusted,30.4801,30.0457
2023Q3,format_adjusted,30.4875,30.0531
2023Q3,full_adjusted,30.5157,30.0812
2023Q3,regional_tilt,30.4947,30.0602
2023Q4,store_only,30.4337,30.0
2023Q4,traffic_adjusted,30.4793,30.0455
2023Q4,format_adjusted,30.4866,30.0529
2023Q4,full_adjusted,30.5147,30.081
2023Q4,regional_tilt,30.4938,30.06
2024Q1,store_only,30.4365,30.0
2024Q1,traffic_adjusted,30.4821,30.0456
2024Q1,format_adjusted,30.4896,30.0531
2024Q1,full_adjusted,30.5179,30.0814
2024Q1,regional_tilt,30.4968,30.0604
2024Q2,store_only,30.437,30.0
2024Q2,traffic_adjusted,30.4826,30.0456
2024Q2,format_adjusted,30.49,30.0531
2024Q2,full_adjusted,30.5182,30.0812
2024Q2,regional_tilt,30.4972,30.0602
2024Q3,store_only,30.4417,30.0
2024Q3,traffic_adjusted,30.4872,30.0455
2024Q3,format_adjusted,30.4948,30.0531
2024Q3,full_adjusted,30.523,30.0812
2024Q3,regional_tilt,30.5019,30.0602
2024Q4,store_only,30.4422,30.0
2024Q4,traffic_adjusted,30.4876,30.0454
2024Q4,format_adjusted,30.4952,30.053
2024Q4,full_adjusted,30.5233,30.0811
2024Q4,regional_tilt,30.5022,30.0601
2025Q1,store_only,30.4447,30.0
2025Q1,traffic_adjusted,30.4902,30.0455
2025Q1,format_adjusted,30.498,30.0533
2025Q1,full_adjusted,30.5262,30.0815
2025Q1,regional_tilt,30.5051,30.0604
2025Q2,store_only,30.4439,30.0
2025Q2,traffic_adjusted,30.4893,30.0454
2025Q2,format_adjusted,30.497,30.0531
2025Q2,full_adjusted,30.5252,30.0813
2025Q2,regional_tilt,30.5042,30.0602
2025Q3,store_only,30.4506,30.0
2025Q3,traffic_adjusted,30.4958,30.0452
2025Q3,format_adjusted,30.5036,30.053
2025Q3,full_adjusted,30.5316,30.081
2025Q3,regional_tilt,30.5106,30.06
2025Q4,store_only,30.4485,30.0
2025Q4,traffic_adjusted,30.4937,30.0452
2025Q4,format_adjusted,30.5015,30.053
2025Q4,full_adjusted,30.5296,30.0811
2025Q4,regional_tilt,30.5086,30.06
